entity,testlabel,modelname,correct,wrong,undefinied,documents
persons,orginal,222_EV_1xN-news400-mantis1,0.5,0.48,0.02,656
locations,orginal,222_EV_1xN-news400-mantis1,0.71,0.29,0.0,483
events,orginal,222_EV_1xN-news400-mantis1,0.35,0.61,0.04,46
