entity,testlabel,modelname,correct,wrong,undefinied,documents
persons,orginal,212_EV_1xN-news400-llava_16_7b,0.0,0.1,0.9,656
locations,orginal,212_EV_1xN-news400-llava_16_7b,0.0,0.01,0.99,483
events,orginal,212_EV_1xN-news400-llava_16_7b,0.0,0.0,1.0,46
