entity,category,modelname,correct,wrong,undefinied,documents
city,random,11_DV-mmg-llava_15_13b,0.88,0.09,0.03,137
city,city-region,11_DV-mmg-llava_15_13b,0.88,0.11,0.01,137
city,region-country,11_DV-mmg-llava_15_13b,0.85,0.1,0.05,137
city,country-continent,11_DV-mmg-llava_15_13b,0.85,0.14,0.01,137
country,country-continent,11_DV-mmg-llava_15_13b,0.93,0.06,0.01,199
country,random,11_DV-mmg-llava_15_13b,0.95,0.05,0.0,199
country,city-region,11_DV-mmg-llava_15_13b,0.93,0.07,-0.0,199
country,region-country,11_DV-mmg-llava_15_13b,0.94,0.06,0.0,199
continent,region-country,11_DV-mmg-llava_15_13b,0.81,0.05,0.14,193
continent,random,11_DV-mmg-llava_15_13b,0.92,0.07,0.01,193
continent,city-region,11_DV-mmg-llava_15_13b,0.81,0.07,0.12,193
continent,country-continent,11_DV-mmg-llava_15_13b,0.78,0.06,0.16,193
