entity,category,modelname,correct,wrong,undefinied,documents
persons,country-gender-sensitive,11_DV-news400-blip2,0.55,0.3,0.15,122
persons,country-sensitive,11_DV-news400-blip2,0.53,0.38,0.09,122
persons,random,11_DV-news400-blip2,0.53,0.37,0.1,122
persons,gender-sensitive,11_DV-news400-blip2,0.49,0.41,0.1,122
locations,city-region,11_DV-news400-blip2,0.63,0.24,0.13,67
locations,random,11_DV-news400-blip2,0.7,0.25,0.05,67
locations,country-continent,11_DV-news400-blip2,0.67,0.25,0.08,67
locations,region-country,11_DV-news400-blip2,0.66,0.25,0.09,67
events,same_instance,11_DV-news400-blip2,0.48,0.52,0.0,25
events,random,11_DV-news400-blip2,0.6,0.32,0.08,25
