entity,testlabel,modelname,correct,wrong,undefinied,documents
persons,orginal,212_EV_1xN-news400-blip20,0.48,0.5,0.02,656
locations,orginal,212_EV_1xN-news400-blip20,0.33,0.66,0.01,483
events,orginal,212_EV_1xN-news400-blip20,0.52,0.46,0.02,46
