entity,category,modelname,correct,wrong,undefinied,documents
city,city-region,11_DV-mmg-llava_15_13b0,0.85,0.14,0.01,137
city,region-country,11_DV-mmg-llava_15_13b0,0.88,0.11,0.01,137
city,random,11_DV-mmg-llava_15_13b0,0.92,0.08,-0.0,137
city,country-continent,11_DV-mmg-llava_15_13b0,0.86,0.13,0.01,137
country,region-country,11_DV-mmg-llava_15_13b0,0.92,0.07,0.01,199
country,country-continent,11_DV-mmg-llava_15_13b0,0.92,0.08,-0.0,199
country,random,11_DV-mmg-llava_15_13b0,0.96,0.04,0.0,199
country,city-region,11_DV-mmg-llava_15_13b0,0.94,0.06,0.0,199
continent,random,11_DV-mmg-llava_15_13b0,0.93,0.07,-0.0,193
continent,region-country,11_DV-mmg-llava_15_13b0,0.78,0.07,0.15,193
continent,country-continent,11_DV-mmg-llava_15_13b0,0.81,0.05,0.14,193
continent,city-region,11_DV-mmg-llava_15_13b0,0.76,0.1,0.14,193
