entity,category,modelname,correct,wrong,undefinied,documents
city,country-continent,DV-mmg-llava_1_5_13b_answers,0.91,0.09,-0.0,137
city,random,DV-mmg-llava_1_5_13b_answers,0.85,0.13,0.02,137
city,region-country,DV-mmg-llava_1_5_13b_answers,0.85,0.11,0.04,137
city,city-region,DV-mmg-llava_1_5_13b_answers,0.83,0.15,0.02,137
country,region-country,DV-mmg-llava_1_5_13b_answers,0.96,0.02,0.02,199
country,random,DV-mmg-llava_1_5_13b_answers,0.96,0.04,0.0,199
country,city-region,DV-mmg-llava_1_5_13b_answers,0.94,0.04,0.02,199
country,country-continent,DV-mmg-llava_1_5_13b_answers,0.97,0.03,0.0,199
continent,random,DV-mmg-llava_1_5_13b_answers,0.9,0.09,0.01,193
continent,city-region,DV-mmg-llava_1_5_13b_answers,0.78,0.06,0.16,193
continent,region-country,DV-mmg-llava_1_5_13b_answers,0.74,0.07,0.19,193
continent,country-continent,DV-mmg-llava_1_5_13b_answers,0.81,0.06,0.13,193
