entity,testlabel,modelname,correct,wrong,undefinied,documents
persons,orginal,02_21_EV_1x1-tamperednews-instructBlip,0.66,0.31,0.03,504
locations,orginal,02_21_EV_1x1-tamperednews-instructBlip,0.29,0.71,0.0,607
events,orginal,02_21_EV_1x1-tamperednews-instructBlip,0.58,0.41,0.01,135
