entity,testlabel,modelname,correct,wrong,undefinied,documents
persons,orginal,12_EV-news400-instructBlip,0.77,0.23,-0.0,659
locations,orginal,12_EV-news400-instructBlip,0.74,0.26,0.0,484
events,orginal,12_EV-news400-instructBlip,0.57,0.43,0.0,46
