entity,category,modelname,correct,wrong,undefinied,documents
persons,country-sensitive,11_DV-tamperednews-instructBlip3,0.19,0.18,0.63,91
persons,country-gender-sensitive,11_DV-tamperednews-instructBlip3,0.19,0.11,0.7,91
persons,gender-sensitive,11_DV-tamperednews-instructBlip3,0.18,0.13,0.69,91
persons,random,11_DV-tamperednews-instructBlip3,0.27,0.11,0.62,91
locations,region-country,11_DV-tamperednews-instructBlip3,0.34,0.17,0.49,95
locations,random,11_DV-tamperednews-instructBlip3,0.55,0.14,0.31,95
locations,city-region,11_DV-tamperednews-instructBlip3,0.42,0.16,0.42,95
locations,country-continent,11_DV-tamperednews-instructBlip3,0.37,0.16,0.47,95
events,random,11_DV-tamperednews-instructBlip3,0.43,0.16,0.41,92
events,same_instance,11_DV-tamperednews-instructBlip3,0.47,0.24,0.29,92
