entity,testlabel,modelname,correct,wrong,undefinied,documents
persons,orginal,212_EV_1xN-tamperednews-llava_16_7b2,0.01,0.01,0.98,464
locations,orginal,212_EV_1xN-tamperednews-llava_16_7b2,0.0,0.0,1.0,607
events,orginal,212_EV_1xN-tamperednews-llava_16_7b2,0.0,0.0,1.0,134
