entity,testlabel,modelname,correct,wrong,undefinied,documents
persons,orginal,12_EV-tamperednews-llava_15_7b,0.73,0.27,0.0,508
locations,orginal,12_EV-tamperednews-llava_15_7b,0.71,0.29,0.0,608
events,orginal,12_EV-tamperednews-llava_15_7b,0.69,0.3,0.01,138
