entity,category,modelname,correct,wrong,undefinied,documents
city,region-country,DV-mmg-llava_1_6_7b_answers,0.69,0.26,0.05,137
city,random,DV-mmg-llava_1_6_7b_answers,0.72,0.24,0.04,137
city,country-continent,DV-mmg-llava_1_6_7b_answers,0.74,0.23,0.03,137
city,city-region,DV-mmg-llava_1_6_7b_answers,0.68,0.25,0.07,137
country,region-country,DV-mmg-llava_1_6_7b_answers,0.93,0.07,-0.0,199
country,random,DV-mmg-llava_1_6_7b_answers,0.9,0.08,0.02,199
country,city-region,DV-mmg-llava_1_6_7b_answers,0.88,0.1,0.02,199
country,country-continent,DV-mmg-llava_1_6_7b_answers,0.9,0.1,-0.0,199
continent,country-continent,DV-mmg-llava_1_6_7b_answers,0.79,0.08,0.13,193
continent,region-country,DV-mmg-llava_1_6_7b_answers,0.72,0.08,0.2,193
continent,city-region,DV-mmg-llava_1_6_7b_answers,0.75,0.08,0.17,193
continent,random,DV-mmg-llava_1_6_7b_answers,0.89,0.1,0.01,193
