entity,category,modelname,correct,wrong,undefinied,documents
persons,country-sensitive,11_DV-tamperednews-llava_15_7b3,0.74,0.26,0.0,91
persons,random,11_DV-tamperednews-llava_15_7b3,0.79,0.21,-0.0,91
persons,country-gender-sensitive,11_DV-tamperednews-llava_15_7b3,0.7,0.3,0.0,91
persons,gender-sensitive,11_DV-tamperednews-llava_15_7b3,0.69,0.31,0.0,91
locations,region-country,11_DV-tamperednews-llava_15_7b3,0.77,0.22,0.01,95
locations,random,11_DV-tamperednews-llava_15_7b3,0.87,0.12,0.01,95
locations,country-continent,11_DV-tamperednews-llava_15_7b3,0.85,0.15,0.0,95
locations,city-region,11_DV-tamperednews-llava_15_7b3,0.71,0.29,0.0,95
events,random,11_DV-tamperednews-llava_15_7b3,0.98,0.02,0.0,92
events,same_instance,11_DV-tamperednews-llava_15_7b3,0.9,0.1,-0.0,92
