entity,testlabel,modelname,correct,wrong,undefinied,documents
persons,orginal,IEV-tamperednews-instructBlip_answers,0.66,0.31,0.03,504
locations,orginal,IEV-tamperednews-instructBlip_answers,0.29,0.71,0.0,607
events,orginal,IEV-tamperednews-instructBlip_answers,0.58,0.41,0.01,135
