entity,testlabel,modelname,correct,wrong,undefinied,documents
persons,orginal,212_EV_1xN-tamperednews-instructBlip,0.0,0.84,0.16,464
locations,orginal,212_EV_1xN-tamperednews-instructBlip,0.0,0.16,0.84,607
events,orginal,212_EV_1xN-tamperednews-instructBlip,0.0,0.26,0.74,134
