entity,category,modelname,correct,wrong,undefinied,documents
city,region-country,11_DV-mmg-blip20,0.37,0.54,0.09,137
city,country-continent,11_DV-mmg-blip20,0.36,0.59,0.05,137
city,city-region,11_DV-mmg-blip20,0.43,0.5,0.07,137
city,random,11_DV-mmg-blip20,0.31,0.64,0.05,137
country,random,11_DV-mmg-blip20,0.41,0.53,0.06,199
country,country-continent,11_DV-mmg-blip20,0.42,0.51,0.07,199
country,city-region,11_DV-mmg-blip20,0.38,0.55,0.07,199
country,region-country,11_DV-mmg-blip20,0.42,0.5,0.08,199
continent,country-continent,11_DV-mmg-blip20,0.5,0.33,0.17,193
continent,random,11_DV-mmg-blip20,0.56,0.38,0.06,193
continent,city-region,11_DV-mmg-blip20,0.46,0.34,0.2,193
continent,region-country,11_DV-mmg-blip20,0.47,0.35,0.18,193
