entity,category,modelname,correct,wrong,undefinied,documents
persons,random,11_DV-tamperednews-blip20,0.5,0.41,0.09,101
persons,country-gender-sensitive,11_DV-tamperednews-blip20,0.47,0.43,0.1,101
persons,country-sensitive,11_DV-tamperednews-blip20,0.5,0.4,0.1,101
persons,gender-sensitive,11_DV-tamperednews-blip20,0.47,0.46,0.07,101
locations,region-country,11_DV-tamperednews-blip20,0.53,0.37,0.1,100
locations,random,11_DV-tamperednews-blip20,0.55,0.4,0.05,100
locations,country-continent,11_DV-tamperednews-blip20,0.46,0.44,0.1,100
locations,city-region,11_DV-tamperednews-blip20,0.49,0.44,0.07,100
events,random,11_DV-tamperednews-blip20,0.32,0.61,0.07,94
events,same_instance,11_DV-tamperednews-blip20,0.55,0.36,0.09,94
