entity,category,modelname,correct,wrong,undefinied,documents
persons,gender-sensitive,11_DV-tamperednews-llava_15_13b0,0.66,0.32,0.02,101
persons,country-gender-sensitive,11_DV-tamperednews-llava_15_13b0,0.63,0.35,0.02,101
persons,country-sensitive,11_DV-tamperednews-llava_15_13b0,0.65,0.34,0.01,101
persons,random,11_DV-tamperednews-llava_15_13b0,0.69,0.29,0.02,101
locations,region-country,11_DV-tamperednews-llava_15_13b0,0.76,0.2,0.04,100
locations,country-continent,11_DV-tamperednews-llava_15_13b0,0.89,0.11,-0.0,100
locations,city-region,11_DV-tamperednews-llava_15_13b0,0.77,0.21,0.02,100
locations,random,11_DV-tamperednews-llava_15_13b0,0.89,0.09,0.02,100
events,random,11_DV-tamperednews-llava_15_13b0,0.83,0.16,0.01,94
events,same_instance,11_DV-tamperednews-llava_15_13b0,0.79,0.19,0.02,94
