entity,category,modelname,correct,wrong,undefinied,documents
persons,country-gender-sensitive,11_DV-tamperednews-blip2,0.49,0.35,0.16,101
persons,country-sensitive,11_DV-tamperednews-blip2,0.55,0.31,0.14,101
persons,gender-sensitive,11_DV-tamperednews-blip2,0.49,0.41,0.1,101
persons,random,11_DV-tamperednews-blip2,0.58,0.32,0.1,101
locations,region-country,11_DV-tamperednews-blip2,0.58,0.32,0.1,100
locations,country-continent,11_DV-tamperednews-blip2,0.68,0.29,0.03,100
locations,city-region,11_DV-tamperednews-blip2,0.6,0.32,0.08,100
locations,random,11_DV-tamperednews-blip2,0.61,0.26,0.13,100
events,same_instance,11_DV-tamperednews-blip2,0.71,0.28,0.01,95
events,random,11_DV-tamperednews-blip2,0.63,0.28,0.09,95
