entity,category,modelname,correct,wrong,undefinied,documents
persons,gender-sensitive,11_DV-tamperednews-llava_15_7b,0.79,0.2,0.01,101
persons,random,11_DV-tamperednews-llava_15_7b,0.78,0.21,0.01,101
persons,country-sensitive,11_DV-tamperednews-llava_15_7b,0.81,0.19,-0.0,101
persons,country-gender-sensitive,11_DV-tamperednews-llava_15_7b,0.79,0.2,0.01,101
locations,country-continent,11_DV-tamperednews-llava_15_7b,0.92,0.06,0.02,100
locations,random,11_DV-tamperednews-llava_15_7b,0.94,0.05,0.01,100
locations,city-region,11_DV-tamperednews-llava_15_7b,0.85,0.09,0.06,100
locations,region-country,11_DV-tamperednews-llava_15_7b,0.91,0.08,0.01,100
events,random,11_DV-tamperednews-llava_15_7b,0.85,0.15,0.0,95
events,same_instance,11_DV-tamperednews-llava_15_7b,0.85,0.15,0.0,95
