entity,testlabel,modelname,correct,wrong,undefinied,documents
persons,orginal,211_EV_1x1-news400-llava_16_7b,0.34,0.66,-0.0,656
locations,orginal,211_EV_1x1-news400-llava_16_7b,0.42,0.56,0.02,483
events,orginal,211_EV_1x1-news400-llava_16_7b,0.8,0.2,-0.0,46
