entity,category,modelname,correct,wrong,undefinied,documents
city,country-continent,11_DV-mmg-llava_16_7b,0.72,0.23,0.05,137
city,city-region,11_DV-mmg-llava_16_7b,0.71,0.25,0.04,137
city,random,11_DV-mmg-llava_16_7b,0.73,0.25,0.02,137
city,region-country,11_DV-mmg-llava_16_7b,0.7,0.23,0.07,137
country,region-country,11_DV-mmg-llava_16_7b,0.9,0.09,0.01,199
country,city-region,11_DV-mmg-llava_16_7b,0.89,0.1,0.01,199
country,random,11_DV-mmg-llava_16_7b,0.92,0.07,0.01,199
country,country-continent,11_DV-mmg-llava_16_7b,0.9,0.08,0.02,199
continent,city-region,11_DV-mmg-llava_16_7b,0.79,0.09,0.12,193
continent,region-country,11_DV-mmg-llava_16_7b,0.77,0.08,0.15,193
continent,country-continent,11_DV-mmg-llava_16_7b,0.73,0.1,0.17,193
continent,random,11_DV-mmg-llava_16_7b,0.87,0.13,0.0,193
