entity,category,modelname,correct,wrong,undefinied,documents
persons,country-sensitive,11_DV-tamperednews-llava_16_7b6,0.65,0.33,0.02,94
persons,random,11_DV-tamperednews-llava_16_7b6,0.72,0.28,0.0,94
persons,gender-sensitive,11_DV-tamperednews-llava_16_7b6,0.68,0.32,-0.0,94
persons,country-gender-sensitive,11_DV-tamperednews-llava_16_7b6,0.63,0.36,0.01,94
locations,region-country,11_DV-tamperednews-llava_16_7b6,0.82,0.17,0.01,94
locations,city-region,11_DV-tamperednews-llava_16_7b6,0.7,0.3,0.0,94
locations,country-continent,11_DV-tamperednews-llava_16_7b6,0.8,0.2,-0.0,94
locations,random,11_DV-tamperednews-llava_16_7b6,0.86,0.14,0.0,94
events,same_instance,11_DV-tamperednews-llava_16_7b6,0.88,0.12,0.0,94
events,random,11_DV-tamperednews-llava_16_7b6,0.96,0.04,0.0,94
