entity,category,modelname,correct,wrong,undefinied,documents
persons,country-sensitive,11_DV-tamperednews-llava_16_7b3,0.6,0.37,0.03,91
persons,gender-sensitive,11_DV-tamperednews-llava_16_7b3,0.52,0.48,0.0,91
persons,random,11_DV-tamperednews-llava_16_7b3,0.63,0.37,0.0,91
persons,country-gender-sensitive,11_DV-tamperednews-llava_16_7b3,0.6,0.4,0.0,91
locations,region-country,11_DV-tamperednews-llava_16_7b3,0.81,0.18,0.01,95
locations,random,11_DV-tamperednews-llava_16_7b3,0.84,0.15,0.01,95
locations,country-continent,11_DV-tamperednews-llava_16_7b3,0.8,0.2,-0.0,95
locations,city-region,11_DV-tamperednews-llava_16_7b3,0.76,0.24,0.0,95
events,same_instance,11_DV-tamperednews-llava_16_7b3,0.9,0.1,-0.0,92
events,random,11_DV-tamperednews-llava_16_7b3,0.95,0.05,0.0,92
