entity,testlabel,modelname,correct,wrong,undefinied,documents
persons,orginal,12_EV-news400-llava_15_13b,0.42,0.58,0.0,659
locations,orginal,12_EV-news400-llava_15_13b,0.54,0.46,-0.0,484
events,orginal,12_EV-news400-llava_15_13b,0.52,0.48,0.0,46
