entity,category,modelname,correct,wrong,undefinied,documents
persons,country-gender-sensitive,11_DV-news400-llava_15_13b3,0.71,0.29,0.0,121
persons,random,11_DV-news400-llava_15_13b3,0.81,0.19,-0.0,121
persons,country-sensitive,11_DV-news400-llava_15_13b3,0.79,0.21,-0.0,121
persons,gender-sensitive,11_DV-news400-llava_15_13b3,0.81,0.19,-0.0,121
locations,region-country,11_DV-news400-llava_15_13b3,0.84,0.16,0.0,67
locations,random,11_DV-news400-llava_15_13b3,0.96,0.04,0.0,67
locations,city-region,11_DV-news400-llava_15_13b3,0.9,0.1,-0.0,67
locations,country-continent,11_DV-news400-llava_15_13b3,0.93,0.07,-0.0,67
events,same_instance,11_DV-news400-llava_15_13b3,0.96,0.04,0.0,25
events,random,11_DV-news400-llava_15_13b3,0.92,0.08,-0.0,25
