entity,category,modelname,correct,wrong,undefinied,documents
persons,gender-sensitive,11_DV-tamperednews-llava_16_7b,0.85,0.13,0.02,101
persons,random,11_DV-tamperednews-llava_16_7b,0.85,0.14,0.01,101
persons,country-sensitive,11_DV-tamperednews-llava_16_7b,0.82,0.16,0.02,101
persons,country-gender-sensitive,11_DV-tamperednews-llava_16_7b,0.76,0.21,0.03,101
locations,random,11_DV-tamperednews-llava_16_7b,0.81,0.16,0.03,100
locations,country-continent,11_DV-tamperednews-llava_16_7b,0.85,0.15,0.0,100
locations,region-country,11_DV-tamperednews-llava_16_7b,0.81,0.15,0.04,100
locations,city-region,11_DV-tamperednews-llava_16_7b,0.66,0.26,0.08,100
events,same_instance,11_DV-tamperednews-llava_16_7b,0.64,0.27,0.09,95
events,random,11_DV-tamperednews-llava_16_7b,0.74,0.17,0.09,95
