entity,category,modelname,correct,wrong,undefinied,documents
persons,gender-sensitive,11_DV-news400-llava_16_7b0,0.77,0.21,0.02,122
persons,country-sensitive,11_DV-news400-llava_16_7b0,0.8,0.19,0.01,122
persons,country-gender-sensitive,11_DV-news400-llava_16_7b0,0.77,0.22,0.01,122
persons,random,11_DV-news400-llava_16_7b0,0.84,0.16,0.0,122
locations,city-region,11_DV-news400-llava_16_7b0,0.87,0.12,0.01,67
locations,region-country,11_DV-news400-llava_16_7b0,0.9,0.09,0.01,67
locations,random,11_DV-news400-llava_16_7b0,0.96,0.04,0.0,67
locations,country-continent,11_DV-news400-llava_16_7b0,0.94,0.04,0.02,67
events,random,11_DV-news400-llava_16_7b0,0.88,0.12,0.0,25
events,same_instance,11_DV-news400-llava_16_7b0,0.8,0.2,-0.0,25
