entity,testlabel,modelname,correct,wrong,undefinied,documents
persons,orginal,222_EV_1xN-tamperednews-mantis0,0.79,0.21,-0.0,464
locations,orginal,222_EV_1xN-tamperednews-mantis0,0.72,0.28,0.0,607
events,orginal,222_EV_1xN-tamperednews-mantis0,0.25,0.74,0.01,134
