entity,category,modelname,correct,wrong,undefinied,documents
persons,gender-sensitive,11_DV-news400-llava_15_13b,0.79,0.19,0.02,122
persons,country-gender-sensitive,11_DV-news400-llava_15_13b,0.66,0.3,0.04,122
persons,country-sensitive,11_DV-news400-llava_15_13b,0.66,0.32,0.02,122
persons,random,11_DV-news400-llava_15_13b,0.77,0.18,0.05,122
locations,city-region,11_DV-news400-llava_15_13b,0.76,0.06,0.18,67
locations,random,11_DV-news400-llava_15_13b,0.99,0.01,0.0,67
locations,country-continent,11_DV-news400-llava_15_13b,0.88,0.04,0.08,67
locations,region-country,11_DV-news400-llava_15_13b,0.76,0.07,0.17,67
events,random,11_DV-news400-llava_15_13b,0.88,0.12,0.0,25
events,same_instance,11_DV-news400-llava_15_13b,0.76,0.2,0.04,25
