entity,testlabel,modelname,correct,wrong,undefinied,documents
locations,country,12_EV-mmg-llava_15_13b,0.78,0.22,-0.0,199
locations,city,12_EV-mmg-llava_15_13b,0.53,0.47,0.0,137
locations,continent,12_EV-mmg-llava_15_13b,0.8,0.2,-0.0,193
