entity,category,modelname,correct,wrong,undefinied,documents
city,region-country,11_DV-mmg-llava_15_7b0,0.82,0.16,0.02,137
city,country-continent,11_DV-mmg-llava_15_7b0,0.85,0.13,0.02,137
city,random,11_DV-mmg-llava_15_7b0,0.89,0.09,0.02,137
city,city-region,11_DV-mmg-llava_15_7b0,0.87,0.09,0.04,137
country,random,11_DV-mmg-llava_15_7b0,0.94,0.06,0.0,199
country,country-continent,11_DV-mmg-llava_15_7b0,0.9,0.09,0.01,199
country,region-country,11_DV-mmg-llava_15_7b0,0.92,0.05,0.03,199
country,city-region,11_DV-mmg-llava_15_7b0,0.93,0.06,0.01,199
continent,random,11_DV-mmg-llava_15_7b0,0.94,0.06,0.0,193
continent,country-continent,11_DV-mmg-llava_15_7b0,0.83,0.03,0.14,193
continent,region-country,11_DV-mmg-llava_15_7b0,0.81,0.04,0.15,193
continent,city-region,11_DV-mmg-llava_15_7b0,0.8,0.06,0.14,193
