entity,category,modelname,correct,wrong,undefinied,documents
persons,country-gender-sensitive,11_DV-news400-llava_15_7b6,0.61,0.39,0.0,121
persons,random,11_DV-news400-llava_15_7b6,0.82,0.18,0.0,121
persons,gender-sensitive,11_DV-news400-llava_15_7b6,0.76,0.24,0.0,121
persons,country-sensitive,11_DV-news400-llava_15_7b6,0.75,0.25,0.0,121
locations,region-country,11_DV-news400-llava_15_7b6,0.87,0.13,0.0,67
locations,country-continent,11_DV-news400-llava_15_7b6,0.88,0.12,0.0,67
locations,random,11_DV-news400-llava_15_7b6,0.9,0.1,-0.0,67
locations,city-region,11_DV-news400-llava_15_7b6,0.87,0.13,0.0,67
events,random,11_DV-news400-llava_15_7b6,0.84,0.16,0.0,25
events,same_instance,11_DV-news400-llava_15_7b6,0.76,0.24,0.0,25
