entity,testlabel,modelname,correct,wrong,undefinied,documents
persons,orginal,12_EV-tamperednews-instructBlip,0.85,0.15,0.0,504
locations,orginal,12_EV-tamperednews-instructBlip,0.83,0.17,0.0,607
events,orginal,12_EV-tamperednews-instructBlip,0.68,0.32,-0.0,135
