entity,category,modelname,correct,wrong,undefinied,documents
persons,gender-sensitive,11_DV-news400-llava_16_7b3,0.61,0.39,0.0,121
persons,country-sensitive,11_DV-news400-llava_16_7b3,0.66,0.31,0.03,121
persons,country-gender-sensitive,11_DV-news400-llava_16_7b3,0.61,0.39,0.0,121
persons,random,11_DV-news400-llava_16_7b3,0.59,0.39,0.02,121
locations,region-country,11_DV-news400-llava_16_7b3,0.7,0.27,0.03,67
locations,country-continent,11_DV-news400-llava_16_7b3,0.87,0.13,0.0,67
locations,city-region,11_DV-news400-llava_16_7b3,0.67,0.33,-0.0,67
locations,random,11_DV-news400-llava_16_7b3,0.88,0.12,0.0,67
events,same_instance,11_DV-news400-llava_16_7b3,0.88,0.12,0.0,25
events,random,11_DV-news400-llava_16_7b3,0.96,0.04,0.0,25
