entity,category,modelname,correct,wrong,undefinied,documents
persons,country-sensitive,11_DV-news400-instructBlip6,0.52,0.31,0.17,121
persons,country-gender-sensitive,11_DV-news400-instructBlip6,0.46,0.29,0.25,121
persons,gender-sensitive,11_DV-news400-instructBlip6,0.56,0.25,0.19,121
persons,random,11_DV-news400-instructBlip6,0.55,0.29,0.16,121
locations,city-region,11_DV-news400-instructBlip6,0.48,0.22,0.3,67
locations,country-continent,11_DV-news400-instructBlip6,0.51,0.13,0.36,67
locations,region-country,11_DV-news400-instructBlip6,0.45,0.21,0.34,67
locations,random,11_DV-news400-instructBlip6,0.55,0.21,0.24,67
events,random,11_DV-news400-instructBlip6,0.88,0.0,0.12,25
events,same_instance,11_DV-news400-instructBlip6,0.72,0.2,0.08,25
