entity,category,modelname,correct,wrong,undefinied,documents
persons,random,11_DV-news400-llava_15_7b3,0.71,0.29,0.0,121
persons,country-sensitive,11_DV-news400-llava_15_7b3,0.69,0.31,0.0,121
persons,gender-sensitive,11_DV-news400-llava_15_7b3,0.67,0.33,-0.0,121
persons,country-gender-sensitive,11_DV-news400-llava_15_7b3,0.64,0.36,0.0,121
locations,random,11_DV-news400-llava_15_7b3,0.96,0.04,0.0,67
locations,city-region,11_DV-news400-llava_15_7b3,0.79,0.19,0.02,67
locations,country-continent,11_DV-news400-llava_15_7b3,0.91,0.09,-0.0,67
locations,region-country,11_DV-news400-llava_15_7b3,0.79,0.19,0.02,67
events,same_instance,11_DV-news400-llava_15_7b3,0.84,0.16,0.0,25
events,random,11_DV-news400-llava_15_7b3,0.88,0.12,0.0,25
