entity,category,modelname,correct,wrong,undefinied,documents
persons,country-gender-sensitive,11_DV-tamperednews-llava_15_7b0,0.69,0.3,0.01,101
persons,gender-sensitive,11_DV-tamperednews-llava_15_7b0,0.73,0.27,0.0,101
persons,country-sensitive,11_DV-tamperednews-llava_15_7b0,0.77,0.23,-0.0,101
persons,random,11_DV-tamperednews-llava_15_7b0,0.73,0.26,0.01,101
locations,country-continent,11_DV-tamperednews-llava_15_7b0,0.91,0.09,-0.0,100
locations,city-region,11_DV-tamperednews-llava_15_7b0,0.8,0.18,0.02,100
locations,region-country,11_DV-tamperednews-llava_15_7b0,0.89,0.1,0.01,100
locations,random,11_DV-tamperednews-llava_15_7b0,0.96,0.03,0.01,100
events,random,11_DV-tamperednews-llava_15_7b0,0.86,0.14,0.0,94
events,same_instance,11_DV-tamperednews-llava_15_7b0,0.88,0.12,0.0,94
