entity,testlabel,modelname,correct,wrong,undefinied,documents
persons,orginal,01_EV-news400-blip24,0.37,0.58,0.05,659
locations,orginal,01_EV-news400-blip24,0.38,0.58,0.04,484
events,orginal,01_EV-news400-blip24,0.74,0.26,0.0,46
