entity,category,modelname,correct,wrong,undefinied,documents
persons,country-sensitive,11_DV-news400-blip20,0.36,0.52,0.12,122
persons,random,11_DV-news400-blip20,0.34,0.59,0.07,122
persons,country-gender-sensitive,11_DV-news400-blip20,0.38,0.54,0.08,122
persons,gender-sensitive,11_DV-news400-blip20,0.37,0.56,0.07,122
locations,region-country,11_DV-news400-blip20,0.45,0.48,0.07,67
locations,country-continent,11_DV-news400-blip20,0.45,0.51,0.04,67
locations,random,11_DV-news400-blip20,0.45,0.49,0.06,67
locations,city-region,11_DV-news400-blip20,0.48,0.46,0.06,67
events,same_instance,11_DV-news400-blip20,0.56,0.4,0.04,25
events,random,11_DV-news400-blip20,0.56,0.44,-0.0,25
