entity,testlabel,modelname,correct,wrong,undefinied,documents
persons,orginal,212_EV_1xN-tamperednews-blip2,0.0,0.25,0.75,464
locations,orginal,212_EV_1xN-tamperednews-blip2,0.0,0.04,0.96,607
events,orginal,212_EV_1xN-tamperednews-blip2,0.0,0.04,0.96,134
