entity,testlabel,modelname,correct,wrong,undefinied,documents
persons,orginal,211_EV_1x1-news400-instructBlip,0.62,0.35,0.03,656
locations,orginal,211_EV_1x1-news400-instructBlip,0.3,0.7,0.0,483
events,orginal,211_EV_1x1-news400-instructBlip,0.57,0.37,0.06,46
