entity,testlabel,modelname,correct,wrong,undefinied,documents
persons,orginal,212_EV_1xN-news400-instructBlip0,0.7,0.28,0.02,656
locations,orginal,212_EV_1xN-news400-instructBlip0,0.31,0.69,0.0,483
events,orginal,212_EV_1xN-news400-instructBlip0,0.46,0.54,0.0,46
